ObjectID,Stop ID,Stop Code,Stop Name,Stop Description,Stop Latitiude,Stop Longtitude,Wheelchair Boarding,x,y
16835,133,133,BELMONT - ABBY, ,36.750492,-119.789751,,6330301.81857863,2157278.43329556
16836,136,136,FIRST - BULLARD, ,36.822554,-119.772411,,6335592.69972914,2183471.58530548
16837,137,137,FIRST - SHIELDS, ,36.780555,-119.772685,,6335389.48688097,2168182.27270831
16838,138,138,VENTURA - FIRST,E VENTURA ST & S FIRST ST,36.735932,-119.773774,,6334939.69348922,2151939.75401232
16839,140,140,NW JENSEN - CHERRY,E JENSEN AVE & S CHERRY AVE,36.706913,-119.782184,,6332389.41446905,2141395.38205647
16840,142,142,ELM - GROVE, ,36.710815,-119.790655,,6329918.0680338,2142836.22891231
16841,143,143,FIRST - VENTURA, ,36.736322,-119.772485,,6335318.52934572,2152078.6930389
16842,144,144,FIRST - SHIELDS, ,36.78042,-119.772459,,6335455.27415097,2168132.59301764
16843,145,145,FIRST - BULLARD, ,36.823464,-119.772153,,6335670.87608197,2183802.27001156
16844,146,146,SAINT AGNES HOSPITAL  BUS STOP,E FRONTAGE RD S & PRIVATE DR,36.837035,-119.765298,,6337716.5760588,2188726.83988681
16845,149,149,SW OLIVE - PALM, ,36.757586,-119.808913,,6324709.92818764,2159907.73020232
16846,150,150,SE OLIVE - ABBY, ,36.757188,-119.789025,,6330534.53300822,2159714.37100898
16847,152,152,SE OLIVE - CEDAR, ,36.757629,-119.753864,,6340835.58786538,2159792.18253314
16848,153,153,SE OLIVE - CHESTNUT, ,36.757589,-119.735737,,6346145.44273122,2159736.44019055
16849,154,154,SE OLIVE - PEACH, ,36.757418,-119.717948,,6351355.94280888,2159634.74912098
16850,155,155,NW BELMONT - CLOVIS, ,36.750549,-119.700681,,6356395.77163997,2157096.70695297
16851,157,157,NW OLIVE - PEACH, ,36.757563,-119.719683,,6350848.10032064,2159691.3408713
16852,158,158,NW OLIVE - CHESTNUT, ,36.757807,-119.737107,,6345744.73552738,2159818.88097057
16853,159,159,NW OLIVE - CEDAR, ,36.757815,-119.755314,,6340411.37053797,2159863.23357214
16854,160,160,NW OLIVE - FIRST, ,36.757797,-119.773111,,6335198.03942922,2159898.16493273
16855,161,161,NW OLIVE - BLACKSTONE,E OLIVE AVE & N CALAVERAS ST,36.757771,-119.791089,,6329931.66971263,2159931.58678189
16856,162,162,NW OLIVE - PALM,E OLIVE AVE & N SAFFORD AVE,36.757676,-119.808918,,6324708.73954172,2159940.50703965
16857,164,164,NE BLACKSTONE - EL PASO,N BLACKSTONE AVE,36.847306,-119.790524,,6330365.48282139,2192525.87428348
16858,167,167,SW CEDAR - SHAW,N CEDAR AVE & E SIERRA MADRE AVE,36.808243,-119.754218,,6340876.59795398,2178219.24410415
16859,168,168,NW CEDAR - SHIELDS,N CEDAR AVE & E FOUNTAIN WAY,36.779841,-119.754401,,6340741.8042603,2167879.76839206
16860,169,169,SW CEDAR - VENTURA,S CEDAR AVE & E KINGS CANYON RD,36.735559,-119.754581,,6340562.42732248,2151759.21434714
16861,170,170,NW CEDAR - JENSEN,S CEDAR AVE & E JENSEN AVE,36.70713,-119.754718,,6340440.95184363,2141409.96076748
16862,171,171,HINTON CENTER,S FAIRVIEW AVE & E CHURCH AVE,36.71448,-119.804289,,6325933.01399605,2144203.64678115
16863,173,173,HINTON CENTER,E CHURCH AVE & S FAIRVIEW AVE,36.714158,-119.804673,,6325819.48403938,2144087.3665019
16864,174,174,NE CEDAR - JENSEN,S CEDAR AVE & UNNAMED ALY,36.70721,-119.754605,,6340474.30348296,2141438.82422681
16865,175,175,NE CEDAR - VENTURA,S CEDAR AVE & E BALCH AVE,36.736238,-119.754492,,6340590.44760764,2152006.19974557
16866,176,176,CEDAR - SHIELDS,N CEDAR AVE & E FOUNTAIN WAY,36.780189,-119.7543,,6340772.37670572,2168006.22680056
16867,177,177,NE CEDAR - SHAW,N CEDAR AVE & E SCOTT AVE,36.808966,-119.754106,,6340911.4515588,2178482.19961497
16868,179,179,CEDAR - HERNDON,N CEDAR AVE & E HERNDON AVE,36.837751,-119.754106,,6340993.73748347,2188961.59860365
16869,181,181,MARKS - SHAW, ,36.807758,-119.844606,,6314415.03178272,2178262.93004039
16870,182,182,SE SHIELDS - WEST, ,36.779217,-119.825482,,6319924.06308746,2167823.81673232
16871,183,183,SHIELDS - CEDAR, ,36.779518,-119.753275,,6341070.62742156,2167759.59048282
16872,184,184,CHESTNUT - CLINTON, ,36.77247,-119.736485,,6345967.87484489,2165155.59962781
16873,186,186,MAPLE - CHURCH, ,36.713736,-119.745783,,6343078.67786738,2143794.40973873
16874,187,187,GRAND - HARDING, ,36.683905,-119.733648,,6346552.45930564,2132907.07685465
16875,189,189,CHESTNUT - BUTLER,S CHESTNUT AVE & E BUTLER AVE,36.729326,-119.736325,,6345894.31134371,2149448.56247239
16876,190,190,CHESTNUT - CLINTON, ,36.772565,-119.736211,,6346048.38780722,2165189.56937614
16877,191,191,SHIELDS - CEDAR, ,36.779732,-119.753677,,6340953.51413871,2167838.42168997
16878,193,193,NW SHIELDS - WEST,W SHIELDS AVE & N CHANNING WAY,36.779358,-119.825977,,6319779.5450038,2167876.39438306
16879,195,195,NW SHIELDS - STANFORD,E SHIELDS AVE & N STANFORD AVE,36.77953,-119.687574,,6360311.12568589,2167619.62783623
16880,196,196,NW ASHLAN - CLOVIS, ,36.793272,-119.701009,,6356413.21058147,2172650.93076573
16881,197,197,NW ASHLAN - CEDAR, ,36.794249,-119.755452,,6340475.28281172,2173127.48689923
16882,201,201,NE Palm - Herndon, ,36.837618,-119.808113,,6325189.43838347,2189041.71753789
16883,202,202,SE HERNDON - MILBURN, ,36.836912,-119.87853,,6304581.26798572,2188965.63862181
16884,208,208,ASHLAN - CEDAR, ,36.794047,-119.753875,,6340936.43871355,2173050.31973073
16885,209,209,CLOVIS - ASHLAN, ,36.793116,-119.70108,,6356392.0072118,2172594.28980289
16886,211,211,MAULPIN - PECK, ,36.885088,-119.800032,,6327698.11971781,2206303.82212123
16887,213,213,MILLBROOK - TEAGUE,N MILLBROOK AVE & E TEAGUE AVE,36.859723,-119.76571,,6337661.86783488,2196987.58058314
16888,214,214,CHAMPLAIN - PERRIN, ,36.871971,-119.764516,,6338046.66168472,2201443.81642132
16889,216,216,MILLBROOK - TEAGUE, ,36.858811,-119.765875,,6337610.95028581,2196655.9424669
16890,231,231,NE BRAWLEY - FEDORA,N BRAWLEY AVE & W FEDORA AVE,36.784322,-119.862249,,6309173.64331539,2169776.90534581
16891,232,232,NE BRAWLEY - DAKOTA,N BRAWLEY AVE & W DAKOTA AVE,36.786839,-119.862257,,6309179.52781805,2170693.24275197
16892,234,234,NW ASHLAN - PARKWAY,W ASHLAN AVE & N BLYTHE AVE,36.793657,-119.867537,,6307655.87272888,2173189.26827173
16893,235,235,NW ASHLAN - BLYTHE,W ASHLAN AVE & N MITRE AVE,36.793639,-119.872061,,6306331.22445956,2173194.71215847
16894,236,236,NW ASHLAN - MILBURN,W ASHLAN AVE & FRONTAGE RD,36.793739,-119.876134,,6305139.01654214,2173241.97125031
16895,237,237,NE CORNELIA - ASHLAN,N CORNELIA AVE & W ASHLAN AVE,36.793998,-119.880286,,6303924.2125413,2173347.37720747
16896,238,238,NE CORNELIA - SWIFT,N CORNELIA AVE & W SWIFT AVE,36.79631,-119.880384,,6303903.23522106,2174189.32696715
16897,239,239,NE 4488 CORNELIA - DONNER,N CORNELIA AVE & PRIVATE DR,36.800835,-119.88041,,6303910.7243793,2175836.72984031
16898,240,240,NB 4734 CORNELIA - MOBIL PARK,N CORNELIA AVE & N PARKWAY DR,36.802558,-119.880438,,6303908.2775338,2176464.06618406
16899,241,241,NE FAIRMONT - STATE,W FAIRMONT AVE & N BARCUS AVE,36.806302,-119.887091,,6301973.15246706,2177844.99944581
16900,243,243,SW SHAW - DALE,W SHAW AVE & N DALE AVE,36.808084,-119.88411,,6302851.79211397,2178485.69304632
16901,244,244,SE SHAW - CORNELIA,W SHAW AVE & N CORNELIA AVE,36.808183,-119.879551,,6304186.70807931,2178509.47974415
16902,245,245,SW SHAW - BLYTHE,W SHAW AVE & W JENNIFER AVE,36.808135,-119.871993,,6306399.05076747,2178471.82922889
16903,246,246,SE SHAW - EL CAPITAN,W SHAW AVE & FRONTAGE RD,36.808205,-119.868124,,6307531.87921047,2178487.05196747
16904,248,248,SE SHAW - MARTY,W SHAW AVE & N MARTY AVE,36.808153,-119.857704,,6310582.02566922,2178440.71347748
16905,249,249,3077 W SHAW EB,W SHAW AVE & N MARKS AVE,36.808218,-119.846278,,6313927.04817864,2178434.70364697
16906,250,250,SE SHAW - HOLT,W SHAW AVE & N MARKS AVE,36.808188,-119.843008,,6314884.2024323,2178415.36313447
16907,251,251,SW SHAW - HUGHES,W SHAW AVE & N HUGHES AVE,36.808219,-119.834998,,6317229.12654822,2178406.16367781
16908,252,252,SE SHAW - SEQUOIA,W SHAW AVE & N CRYSTAL AVE,36.808232,-119.832339,,6318007.55609372,2178404.13940364
16909,255,255,SE SHAW - CHANNING,W SHAW AVE & N CHANNING CT,36.808272,-119.823854,,6320491.55801547,2178397.2841024
16910,256,256,SE SHAW - DELNO,W SHAW AVE & N FRUIT AVE,36.808288,-119.819578,,6321743.35308406,2178392.39894156
16911,257,257,SE SHAW - FRUIT,W SHAW AVE & N ARTHUR AVE,36.8083,-119.817077,,6322475.52681655,2178390.52886656
16912,258,258,SE SHAW - THRONE,W SHAW AVE & N THORNE AVE,36.808334,-119.81262,,6323780.36278956,2178391.83660673
16913,259,259,SE SHAW - PALM,W SHAW AVE & N PALM AVE,36.808358,-119.807721,,6325214.55709964,2178388.47572106
16914,260,260,SE SHAW - WISHON,W SHAW AVE & N PALM AVE,36.808391,-119.803445,,6326466.40334922,2178389.98949756
16915,261,261,SE SHAW - MAROA,W SHAW AVE & N MAROA AVE,36.808424,-119.798636,,6327874.27815814,2178390.26115055
16916,262,262,SE SHAW - DEL MAR,W SHAW AVE & N DEL MAR AVE,36.808456,-119.794609,,6329053.22855614,2178392.13253789
16917,263,263,SE SHAW - GLENN,W SHAW AVE & E SHAW AVE,36.808477,-119.792233,,6329748.83576073,2178394.03148423
16918,265,265,SE SHAW - FRESNO,E SHAW AVE & N FRESNO ST,36.808536,-119.780433,,6333203.31375989,2178387.22769207
16919,266,266,SE SHAW - ANGUS,E SHAW AVE & E FRONTAGE RD N,36.808533,-119.776088,,6334475.24953622,2178375.82810856
16920,268,268,SE SHAW - FOURTH,E SHAW AVE & N SIXTH ST,36.808535,-119.765318,,6337628.04080281,2178351.25499497
16921,269,269,SE SHAW - SIXTH,E SHAW AVE & N SIXTH ST,36.808556,-119.762987,,6338310.47382113,2178353.47086981
16922,272,272,SW WILLOW - RIALTO, ,36.803248,-119.727345,,6348729.61604056,2176340.09989657
16923,273,273,NW GETTYSBURG - WILLOW,W GETTYSBURG AVE & WILLOW AVE,36.801259,-119.727725,,6348612.8810378,2175616.83395465
16924,274,274,NW GETTYSBURG - WINERY, ,36.801389,-119.73198,,6347367.52099572,2175673.62813239
16925,275,275,4857 E GETTYSBURG WB, ,36.801382,-119.73393,,6346796.60842364,2175675.43685581
16926,276,276,NW GETTYSBURG - CHESTNUT, ,36.801394,-119.73681,,6345953.47657973,2175686.26163732
16927,277,277,NW GETTYSBURG - WOODROW, ,36.80141,-119.741107,,6344695.50796705,2175701.76619948
16928,278,278,NE GETTYSBURG - MAPLE, ,36.801423,-119.744976,,6343562.83536364,2175715.26289165
16929,280,280,NE MAPLE - SANTA ANA,N MAPLE AVE & E ALAMOS AVE,36.80511,-119.745118,,6343531.6766333,2177057.86060014
16930,281,281,NW SHAW - MAPLE,E SHAW AVE & N MAPLE AVE,36.808608,-119.745553,,6343414.21591023,2178332.31868115
16931,282,282,NW SHAW - NINTH,E SHAW AVE & N NINTH ST,36.808631,-119.759061,,6339459.97841188,2178371.66768381
16932,283,283,NW SHAW - MILLBROOK,E SHAW AVE & FRONTAGE RD,36.80862,-119.761403,,6338774.35511123,2178373.09025314
16933,284,284,NW SHAW - SIXTH,E SHAW AVE & N SIXTH ST,36.8086,-119.763677,,6338108.61202013,2178371.09485032
16934,286,286,NW SHAW - ANGUS,E SHAW AVE & N MARIPOSA ST,36.808585,-119.777016,,6334203.74220522,2178396.95569098
16935,287,287,NW SHAW - FRESNO,E SHAW AVE & 41 HWY,36.80857,-119.782141,,6332703.41909039,2178403.67319722
16936,289,289,NW SHAW - DEL MAR,W SHAW AVE & N DEL MAR AVE,36.808509,-119.795299,,6328851.39956348,2178413.09935948
16937,290,290,NW SHAW - MAROA,W SHAW AVE & N MAROA AVE,36.808476,-119.799734,,6327553.01009989,2178411.86675039
16938,291,291,NW SHAW - WISHON,W SHAW AVE & N WISHON CT,36.808444,-119.804248,,6326231.4966668,2178411.25192222
16939,292,292,NE SHAW - PALM,W SHAW AVE & N PALM AVE,36.808413,-119.807167,,6325376.90191931,2178407.13513257
16940,293,293,NW SHAW - PALM,W SHAW AVE & N PALM AVE,36.808401,-119.80892,,6324863.69690897,2178407.08427964
16941,294,294,NW SHAW - THORNE,W SHAW AVE & N THORNE AVE,36.808388,-119.812122,,6323926.31197272,2178410.26242289
16942,295,295,NW SHAW - FRUIT,W SHAW AVE & N FRUIT AVE,36.808344,-119.817802,,6322263.42848746,2178408.35396214
16943,296,296,NW SHAW - TEILMAN,W SHAW AVE & N TEILMAN AVE,36.808328,-119.822214,,6320971.8221468,2178413.55670765
16944,297,297,NW SHAW - CHANNING,W SHAW AVE & N CHANNING CT,36.808307,-119.824578,,6320279.72576196,2178411.8450969
16945,299,299,NE SHAW - FORKNER,W SHAW AVE & N CRYSTAL AVE,36.808298,-119.830009,,6318689.84180264,2178422.26403931
16946,300,300,NW SHAW - SEQUOIA,W SHAW AVE & N SEQUOIA DR,36.808276,-119.83303,,6317805.41345339,2178421.91167781
16947,301,301,NW SHAW - HUGHES,W SHAW AVE & PRIVATE DR,36.80828,-119.835734,,6317013.86516772,2178430.24499448
16948,302,302,NW SHAW - SHAW LANE,W SHAW AVE & W SHAW LN,36.808311,-119.838788,,6316119.94471148,2178449.32500881
16949,304,304,NW SHAW - EL CAPITAN,W SHAW AVE & N EL CAPITAN AVE,36.808257,-119.868781,,6307339.72277063,2178507.72187364
16950,305,305,NW SHAW - BLYTHE,W SHAW AVE & W JENNIFER AVE,36.808188,-119.872118,,6306362.63384555,2178491.45615815
16951,306,306,NE SHAW - JENNIFER,W SHAW AVE & N BLYTHE AVE,36.808184,-119.87429,,6305726.79719073,2178495.78128073
16952,307,307,NW SHAW - CORNELIA,W SHAW AVE & N FORESTIERE AVE,36.808233,-119.881056,,6303746.30738531,2178531.72084139
16953,308,308,NW SHAW - DALE,W SHAW AVE & N DALE AVE,36.808138,-119.884167,,6302835.28722572,2178505.50534265
16954,311,311,5347 W FAIRMONT WB,W FAIRMONT AVE & N BARCUS AVE,36.80625,-119.886231,,6302224.73693764,2177823.74423897
16955,312,312,SW CORNELIA - DONNER,N CORNELIA AVE & PRIVATE DR,36.799344,-119.880518,,6303874.12930813,2175294.21845815
16956,313,313,NW CORNELIA - SWIFT,N CORNELIA AVE & PRIVATE DR,36.796577,-119.880453,,6303883.92423606,2174286.71358339
16957,314,314,SE ASHLAN - CORNELIA,W ASHLAN AVE & N CORNELIA AVE,36.793553,-119.879753,,6304078.78572297,2173183.94446348
16958,315,315,SE ASHLAN - BLYTHE,W ASHLAN AVE & N 99 HWY,36.793589,-119.870625,,6306751.5080678,2173172.69481406
16959,316,316,SW PARKWAY - ASHLAN,N PARKWAY DR & N 99 HWY,36.79331,-119.866948,,6307827.18669072,2173061.38532539
16960,317,317,SW BRAWLEY - GRIFFITH,N BRAWLEY AVE & W SAGINAW WAY,36.789543,-119.862333,,6309166.11281864,2171677.83756757
16961,318,318,NW BRAWLEY - DAKOTA,N BRAWLEY AVE & W DAKOTA AVE,36.786937,-119.862336,,6309156.71552771,2170729.12752272
16962,319,319,NW BRAWLEY - DAYTON,N BRAWLEY AVE & W DAYTON AVE,36.78325,-119.862325,,6309147.88418056,2169386.84247765
16963,320,320,SW BRAWLEY - PRINCETON,N BRAWLEY AVE & W BROWN AVE,36.774717,-119.862311,,6309124.09157722,2166280.36181398
16964,337,337,SW WILLOW - KINGS CANYON, ,36.735308,-119.727514,,6348492.77432264,2151606.63984914
16965,338,338,SE WILLOW - KINGS CANYON, ,36.73532,-119.727337,,6348544.67152855,2151610.61556298
16966,342,342,SE BRAWLEY - SAN JOSE, ,36.811395,-119.862486,,6309192.75745039,2179633.51063256
16967,343,343,SW SAN JOSE - MARTY, ,36.811756,-119.85873,,6310293.40616772,2179755.08125556
16968,344,344,SW SAN JOSE - VALENTINE, ,36.811765,-119.853942,,6311694.99457189,2179745.86047348
16969,345,345,SE SHAW - VALENTINE,W SHAW AVE & N FELAND AVE,36.808242,-119.853111,,6311926.85434438,2178461.1383054
16970,346,346,SW SHAW - FELAND,W SHAW AVE & N VALENTINE AVE,36.808247,-119.849909,,6312864.21369013,2178454.64783281
16971,347,347,NW MARKS - SAN GABRIEL, ,36.803799,-119.844501,,6314433.09539489,2176821.37255606
16972,348,348,SE EMERSON - MARKS, ,36.800945,-119.843965,,6314580.88086048,2175780.98585731
16973,349,349,SW EMERSON - PLEASANT, ,36.800194,-119.840323,,6315644.73732856,2175498.23215772
16974,350,350,SE EMERSON - KAVANAUGH, ,36.7988,-119.837259,,6316537.35299739,2174982.90740098
16975,351,351,4323 N HUGHES SOUTHBOUND, ,36.795652,-119.835491,,6317045.00552538,2173832.36081757
16976,352,352,SW HUGHES - ASHLAN, ,36.793545,-119.835458,,6317047.99469264,2173065.2176668
16977,353,353,SW HUGHES - BELLAIRE, ,36.791604,-119.835474,,6317037.16269331,2172358.63246581
16978,354,354,NW HUGHES - GRIFFITH, ,36.790492,-119.835491,,6317028.66336647,2171953.84948273
16979,356,356,NW HUGHES - DAKOTA, ,36.78711,-119.835557,,6316998.62602498,2170722.79288973
16980,357,357,NW HUGHES - LORNA, ,36.782333,-119.83557,,6316979.68872689,2168983.74977989
16981,359,359,SW HUGHES - MICHIGAN, ,36.776821,-119.835622,,6316947.00145631,2166977.23017089
16982,360,360,NW HUGHES - BROWN, ,36.774582,-119.835618,,6316941.08053638,2166162.10942581
16983,361,361,SW WEST - CAMBRIDGE, ,36.769092,-119.826814,,6319502.2561883,2164141.15185356
16984,362,362,SE McKINLEY - TEILMAN, ,36.764693,-119.821723,,6320979.63577947,2162526.89392723
16985,364,364,SE McKINLEY - FRUIT, ,36.764711,-119.8174,,6322245.90982172,2162522.64131106
16986,365,365,SE McKINLEY - VAN NESS, ,36.764923,-119.798814,,6327690.44584864,2162554.01263939
16987,366,366,SW McKINLEY - SAN PABLO, ,36.764961,-119.794875,,6328844.30279289,2162558.27378573
16988,372,372,SW M ST - STANISLAUS, ,36.740778,-119.792342,,6329513.58984014,2153748.30059206
16989,374,374,Divisadero Station,N ABBY ST & E DIVISADERO ST,36.743313,-119.789398,,6330383.7501733,2154664.06450856
16990,376,376,Belmont Station, ,36.749871,-119.789333,,6330422.41643456,2157051.35107256
16991,377,377,Olive Station, ,36.75751,-119.789179,,6330490.38480255,2159831.96624623
16992,380,380,NW McKINLEY - POPLAR, ,36.765131,-119.79731,,6328131.59949389,2162626.07450314
16993,381,381,NW McKINLEY - WISHON, ,36.765042,-119.801602,,6326874.19551264,2162604.13885148
16994,382,382,NW McKINLEY - HARRISON, ,36.764954,-119.811297,,6324034.24285921,2162595.94792297
16995,383,383,NE McKINLEY - THORNE, ,36.764913,-119.813045,,6323522.1241328,2162585.35148747
16996,384,384,NE McKINLEY - TIELMAN, ,36.764853,-119.82203,,6320890.21338613,2162585.91152573
16997,385,385,NW McKINLEY - WEST, ,36.764796,-119.827098,,6319405.60743147,2162577.90596431
16998,387,387,2020 N WEBER NB, ,36.768802,-119.833067,,6317669.92586347,2164051.40400156
16999,388,388,NE WEBER - CLINTON, ,36.772414,-119.834471,,6317270.1386053,2165369.92597081
17000,389,389,NE HUGHES - BROWN, ,36.774719,-119.835406,,6317003.6017368,2166211.44430089
17001,390,390,SE HUGHES - CORNELL, ,36.777076,-119.835393,,6317014.87303972,2167069.4799864
